Battery List,,,,,,,,,,,,,,,
"Data has not changed since January 11, 2024",,,,,,,,,,,,,,,
"This list contains an extensive amount of equipment information. If you require any assistance, please reach out to us at SolarEquipment@energy.ca.gov or 916-654-4120.",,,,,,,,,,,,,,,
Battery List Notes,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
"(1) This information references the 2022 Building Energy Efficiency Standards' Reference Joint Appendix 12. This appendix outlines requirements for energy storage systems to qualify for battery storage compliance credit. For more information, contact the Title 24 Hotline at (916) 654-5106 or Title24@energy.ca.gov.",,,,,,,,,,,,,,,
(2) Maximum continuous discharge rate as stated by the manufacturer on the spec sheet.,,,,,,,,,,,,,,,
Guidelines for California's Solar Electric Incentive Programs (Senate Bill 1),,,,,,,,,,,,,,,
Blue colored text indicates that the model number occurs multiple times on the list under different manufacturer names.,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
Manufacturer Name,Brand1,Model Number,Technology,Description,UL 1973 Certification,,,Nameplate Energy Capacity,Maximum Continuous Discharge Rate2,Manufacturer Declared Roundtrip Efficiency,Certified JA12 Control  Strategies1,Declaration for JA12 Submitted1,Notes,CEC Listing Date,Last Update
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/153.6V-L10,Lithium Iron Phosphate,"22.73 kW, 22.73 kWh, lithium iron phosphate battery, with 4 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,22.73,22.73,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/153.6V-L15,Lithium Iron Phosphate,"22.73 kW, 22.73 kWh, lithium iron phosphate battery, with 4 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,22.73,22.73,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/153.6V-E10,Lithium Iron Phosphate,"11.36 kW, 22.73 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,22.732,11.366,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/153.6V-E15,Lithium Iron Phosphate,"11.36 kW, 22.73 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,22.732,11.366,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/160V-L10,Lithium Iron Phosphate,"23.68 kW, 23.68 kWh, lithium iron phosphate battery, with 5 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,23.68,23.68,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Force-H1-48/336V,Lithium Iron Phosphate,"12.43 kW, 24.86 kWh, lithium iron phosphate battery, with 7 battery modules.",TUV Rheinland of North America,10/03/2020,Ed. 2 : 2018,24.86,12.43,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/192V-E10,Lithium Iron Phosphate,"14.20 kW, 28.41 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,28.415,14.2075,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/192V-E15,Lithium Iron Phosphate,"14.20 kW, 28.41 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,28.415,14.2075,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Force-H1-48/384V,Lithium Iron Phosphate,"14.21 kW, 28.42 kWh, lithium iron phosphate battery, with 8 battery modules.",TUV Rheinland of North America,10/03/2020,Ed. 2 : 2018,28.42,14.21,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/192V-L10,Lithium Iron Phosphate,"28.42 kW, 28.42 kWh, lithium iron phosphate battery, with 6 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,28.42,28.42,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/192V-L10,Lithium Iron Phosphate,"28.42 kW, 28.42 kWh, lithium iron phosphate battery, with 5 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,28.42,28.42,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/192V-L15,Lithium Iron Phosphate,"28.42 kW, 28.42 kWh, lithium iron phosphate battery, with 5 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,28.42,28.42,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/128V-E15,Lithium Iron Phosphate,"15.68 kW, 31.36 kWh, lithium iron phosphate battery, with 2 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,31.36,15.68,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/128V-L15,Lithium Iron Phosphate,"15.68 kW, 31.36 kWh, lithium iron phosphate battery, with 2 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,31.36,15.68,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/224V-L10,Lithium Iron Phosphate,"33.15 kW, 33.15 kWh, lithium iron phosphate battery, with 7 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,33.15,33.15,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/230.4V-E10,Lithium Iron Phosphate,"17.04 kW, 34.09 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,34.098,17.049,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/230.4V-E15,Lithium Iron Phosphate,"17.04 kW, 34.09 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,34.098,17.049,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/230.4V-L10,Lithium Iron Phosphate,"34.1 kW, 34.1 kWh, lithium iron phosphate battery, with 6 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,34.1,34.1,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/230.4V-L15,Lithium Iron Phosphate,"34.1 kW, 34.1 kWh, lithium iron phosphate battery, with 6 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,34.1,34.1,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/256V-J10,Lithium Iron Phosphate,"37.89 kW, 37.89 kWh, lithium iron phosphate battery, with 8 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,37.89,37.89,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/256V-L10,Lithium Iron Phosphate,"37.89 kW, 37.89 kWh, lithium iron phosphate battery, with 8 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,37.89,37.89,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/268.8V-L10,Lithium Iron Phosphate,"39.78 kW, 39.78 kWh, lithium iron phosphate battery, with 7 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,39.78,39.78,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/268.8V-L15,Lithium Iron Phosphate,"39.78 kW, 39.78 kWh, lithium iron phosphate battery, with 7 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,39.78,39.78,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/268.8V-E10,Lithium Iron Phosphate,"19.89 kW, 39.78 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,39.781,19.8905,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/268.8V-E15,Lithium Iron Phosphate,"19.89 kW, 39.78 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,39.781,19.8905,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/288V-J10,Lithium Iron Phosphate,"42.62 kW, 42.62 kWh, lithium iron phosphate battery, with 9 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,42.62,42.62,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/288V-L10,Lithium Iron Phosphate,"42.62 kW, 42.62 kWh, lithium iron phosphate battery, with 9 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,42.62,42.62,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/307.2V-E10,Lithium Iron Phosphate,"22.73 kW, 45.46 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,45.464,22.732,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/307.2V-E15,Lithium Iron Phosphate,"22.73 kW, 45.46 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,45.464,22.732,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/307.2V-J10,Lithium Iron Phosphate,"45.47 kW, 45.47 kWh, lithium iron phosphate battery, with 8 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,45.47,45.47,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/307.2V-L10,Lithium Iron Phosphate,"45.47 kW, 45.47 kWh, lithium iron phosphate battery, with 8 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,45.47,45.47,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/307.2V-L15,Lithium Iron Phosphate,"45.47 kW, 45.47 kWh, lithium iron phosphate battery, with 8 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,45.47,45.47,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/192V-E15,Lithium Iron Phosphate,"23.52 kW, 47.04 kWh, lithium iron phosphate battery, with 3 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,47.04,23.52,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/192V-L15,Lithium Iron Phosphate,"23.52 kW, 47.04 kWh, lithium iron phosphate battery, with 3 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,47.04,23.52,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/320V-J10,Lithium Iron Phosphate,"47.36 kW, 47.36 kWh, lithium iron phosphate battery, with 10 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,47.36,47.36,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/320V-L10,Lithium Iron Phosphate,"47.36 kW, 47.36 kWh, lithium iron phosphate battery, with 10 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,47.36,47.36,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/345.6V-E10,Lithium Iron Phosphate,"25.57 kW, 51.14 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,51.147,25.5735,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/345.6V-E15,Lithium Iron Phosphate,"25.57 kW, 51.14 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,51.147,25.5735,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/345.6V-J10,Lithium Iron Phosphate,"51.15 kW, 51.15 kWh, lithium iron phosphate battery, with 9 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,51.15,51.15,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/345.6V-L10,Lithium Iron Phosphate,"51.15 kW, 51.15 kWh, lithium iron phosphate battery, with 9 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,51.15,51.15,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/345.6V-L15,Lithium Iron Phosphate,"51.15 kW, 51.15 kWh, lithium iron phosphate battery, with 9 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,51.15,51.15,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/352V-J10,Lithium Iron Phosphate,"52.1 kW, 52.1 kWh, lithium iron phosphate battery, with 11 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,52.1,52.1,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/352V-L10,Lithium Iron Phosphate,"52.1 kW, 52.1 kWh, lithium iron phosphate battery, with 11 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,52.1,52.1,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/384V-J10,Lithium Iron Phosphate,"56.83 kW, 56.83 kWh, lithium iron phosphate battery, with 12 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,56.83,56.83,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/384V-L10,Lithium Iron Phosphate,"56.83 kW, 56.83 kWh, lithium iron phosphate battery, with 12 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,56.83,56.83,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/384V-E10,Lithium Iron Phosphate,"28.41 kW, 56.83 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,56.83,28.415,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/384V-E15,Lithium Iron Phosphate,"28.41 kW, 56.83 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,56.83,28.415,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/384V-J10,Lithium Iron Phosphate,"56.83 kW, 56.83 kWh, lithium iron phosphate battery, with 10 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,56.83,56.83,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/384V-L10,Lithium Iron Phosphate,"56.83 kW, 56.83 kWh, lithium iron phosphate battery, with 10 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,56.83,56.83,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/384V-L15,Lithium Iron Phosphate,"56.83 kW, 56.83 kWh, lithium iron phosphate battery, with 10 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,56.83,56.83,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/416V-J10,Lithium Iron Phosphate,"61.57 kW, 61.57 kWh, lithium iron phosphate battery, with 13 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,61.57,61.57,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/416V-L10,Lithium Iron Phosphate,"61.57 kW, 61.57 kWh, lithium iron phosphate battery, with 13 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,61.57,61.57,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/422.4V-E10,Lithium Iron Phosphate,"31.25 kW, 62.51 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,62.513,31.2565,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/422.4V-E15,Lithium Iron Phosphate,"31.25 kW, 62.51 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,62.513,31.2565,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/422.4V-J10,Lithium Iron Phosphate,"62.52 kW, 62.52 kWh, lithium iron phosphate battery, with 11 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,62.52,62.52,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/422.4V-L10,Lithium Iron Phosphate,"62.52 kW, 62.52 kWh, lithium iron phosphate battery, with 11 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,62.52,62.52,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/422.4V-L15,Lithium Iron Phosphate,"62.52 kW, 62.52 kWh, lithium iron phosphate battery, with 11 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,62.52,62.52,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/256V-E15,Lithium Iron Phosphate,"31.36 kW, 62.72 kWh, lithium iron phosphate battery, with 4 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,62.72,31.36,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/256V-L15,Lithium Iron Phosphate,"31.36 kW, 62.72 kWh, lithium iron phosphate battery, with 4 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,62.72,31.36,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/448V-J10,Lithium Iron Phosphate,"66.3 kW, 66.3 kWh, lithium iron phosphate battery, with 14 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,66.3,66.3,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/448V-L10,Lithium Iron Phosphate,"66.3 kW, 66.3 kWh, lithium iron phosphate battery, with 14 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,66.3,66.3,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/460.8V-E10,Lithium Iron Phosphate,"34.09 kW, 68.19 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,68.196,34.098,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/460.8V-E15,Lithium Iron Phosphate,"34.09 kW, 68.19 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,68.196,34.098,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/460.8V-J10,Lithium Iron Phosphate,"68.2 kW, 68.2 kWh, lithium iron phosphate battery, with 12 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,68.2,68.2,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/460.8V-L10,Lithium Iron Phosphate,"68.2 kW, 68.2 kWh, lithium iron phosphate battery, with 12 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,68.2,68.2,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/460.8V-L15,Lithium Iron Phosphate,"68.2 kW, 68.2 kWh, lithium iron phosphate battery, with 12 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,68.2,68.2,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/480V-J10,Lithium Iron Phosphate,"71.04 kW, 71.04 kWh, lithium iron phosphate battery, with 15 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,71.04,71.04,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/480V-L10,Lithium Iron Phosphate,"71.04 kW, 71.04 kWh, lithium iron phosphate battery, with 15 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,71.04,71.04,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/499.2V-E10,Lithium Iron Phosphate,"36.93 kW, 73.87 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,73.879,36.9395,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/499.2V-E15,Lithium Iron Phosphate,"36.93 kW, 73.87 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,73.879,36.9395,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/499.2V-J10,Lithium Iron Phosphate,"73.88 kW, 73.88 kWh, lithium iron phosphate battery, with 13 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,73.88,73.88,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/499.2V-L10,Lithium Iron Phosphate,"73.88 kW, 73.88 kWh, lithium iron phosphate battery, with 13 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,73.88,73.88,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/499.2V-L15,Lithium Iron Phosphate,"73.88 kW, 73.88 kWh, lithium iron phosphate battery, with 13 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,73.88,73.88,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/512V-J10,Lithium Iron Phosphate,"75.78 kW, 75.78 kWh, lithium iron phosphate battery, with 16 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,75.78,75.78,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/512V-L10,Lithium Iron Phosphate,"75.78 kW, 75.78 kWh, lithium iron phosphate battery, with 16 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,75.78,75.78,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/320V-E15,Lithium Iron Phosphate,"39.2 kW, 78.4 kWh, lithium iron phosphate battery, with 5 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,78.4,39.2,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/320V-L15,Lithium Iron Phosphate,"39.2 kW, 78.4 kWh, lithium iron phosphate battery, with 5 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,78.4,39.2,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/537.6V-J10,Lithium Iron Phosphate,"79.56 kW, 79.56 kWh, lithium iron phosphate battery, with 14 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,79.56,79.56,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/537.6V-L10,Lithium Iron Phosphate,"79.56 kW, 79.56 kWh, lithium iron phosphate battery, with 14 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,79.56,79.56,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/537.6V-L15,Lithium Iron Phosphate,"79.56 kW, 79.56 kWh, lithium iron phosphate battery, with 14 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,79.56,79.56,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/537.6V-E10,Lithium Iron Phosphate,"39.78 kW, 79.56 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,79.562,39.781,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/537.6V-E15,Lithium Iron Phosphate,"39.78 kW, 79.56 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,79.562,39.781,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/544V-J10,Lithium Iron Phosphate,"80.51 kW, 80.51 kWh, lithium iron phosphate battery, with 17 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,80.51,80.51,No Information Submitted,No Information Submitted,N,,21/07/2023,
